SNP	pheno	maf	PheWAS_MAF_W	prev	table	minN	jd_string	PheWAS_OR	PheWAS_P	logit_OR	logit_p-val	fisher_OR	fisher_pval	exact_OR	exact_p-val	pval_norm	bayes factor
exm1001583	pheno_528.12	5.96E-03	0.005954	1.05E-03	"[[27206, 317, 1], [25, 3, 1]]"	5	Oral aphthae	16.39	5.62E-09	14.57	1.28E-08	16.19	2.42E-05	16.19	5.64E-06	5.33E-09	35.13
exm1002571	pheno_747.2	2.70E-03	0.002703	3.52E-03	"[[27790, 141], [92, 6]]"	6	Congenital anomalies of peripheral vascular system	12.5	5.71E-09	12.26	7.51E-09	12.85	1.33E-05	12.85	3.56E-06	3.98E-09	58.13
exm1004207	pheno_603.2	1.57E-03	0.001565	2.69E-03	"[[9602, 31], [23, 3]]"	3	Spermatocele	41.77	7.92E-09	0	0.00E+00	40.4	9.80E-05	40.4	1.46E-05	1.20E-08	9.63
exm1008143	pheno_686.9	1.60E-03	0.001598	1.48E-02	"[[24515, 69], [362, 8]]"	8	Other/Unspecified specified local infections of skin and subcutaneous tissue	8.06	3.42E-08	7.88	4.47E-08	7.85	1.87E-05	7.85	6.70E-06	5.19E-08	91.87
exm1009556	pheno_446.8	1.30E-03	0.001295	1.62E-03	"[[23981, 61, 1], [36, 3, 0]]"	3	Thrombotic microangiopathy	24.05	1.05E-07	22.65	1.24E-07	30.49	1.74E-04	30.49	2.89E-05	2.93E-08	10.08
exm1018460	pheno_306.1	1.08E-03	0.001076	2.64E-03	"[[10188, 15, 3], [24, 3, 0]]"	3	Mental disorders durring/after pregnancy	24.71	1.34E-08	0	0.00E+00	57.12	3.38E-05	57.12	4.34E-06	3.19E-10	10.4
exm1018502	pheno_555.21	1.26E-03	0.001263	7.29E-03	"[[21177, 43, 2], [151, 4, 1]]"	6	Ulcerative colitis (chronic)	10.25	3.31E-08	10.16	3.06E-08	17.69	2.48E-06	17.69	5.92E-07	7.42E-11	73.93
exm1019383	pheno_281.11	6.66E-03	0.00666	1.05E-02	"[[18815, 238, 1], [191, 12, 0]]"	12	Pernicious anemia	5.82	1.95E-08	5.55	2.90E-08	4.81	1.74E-05	4.81	7.80E-06	1.67E-07	203.28
exm1019383	pheno_281.1	6.66E-03	0.00666	1.94E-02	"[[18815, 238, 1], [359, 17, 0]]"	17	Megaloblastic anemia	4.18	6.98E-08	4.1	6.61E-08	3.65	1.29E-05	3.65	6.71E-06	2.91E-07	381.4
exm1020021	pheno_722.9	1.40E-03	0.001396	1.93E-03	"[[24235, 65], [44, 3]]"	3	Other and unspecified disc disorder	26.4	9.78E-08	27.48	6.36E-08	25.42	3.09E-04	25.42	5.63E-05	2.03E-07	9.39
exm1021377	pheno_362.6	1.65E-03	0.001648	2.22E-03	"[[26393, 86], [55, 4]]"	4	Peripheral retinal degenerations	22.53	5.63E-09	22.72	3.95E-09	22.32	4.88E-05	22.32	9.71E-06	7.47E-09	19.71
exm10227	pheno_686.2	7.42E-03	0.007417	1.58E-03	"[[24227, 357, 1], [33, 6, 0]]"	6	Impetigo	11.17	3.72E-08	11	4.11E-08	11.33	2.61E-05	11.33	7.33E-06	1.97E-08	51.04
exm1023206	pheno_420.21	6.98E-03	0.00698	2.54E-03	"[[26784, 358, 1], [62, 7, 0]]"	7	Acute pericarditis	8.19	9.91E-08	8.24	9.21E-08	8	4.55E-05	8	1.53E-05	1.35E-07	61.09
exm1023746	pheno_726.2	1.45E-03	0.001446	1.27E-03	"[[23487, 70], [27, 3]]"	3	Synoviopathy	32.95	2.17E-08	34.25	1.37E-08	37.28	1.09E-04	37.28	1.64E-05	1.03E-08	10.02
exm1024736	pheno_245.1	1.43E-03	0.001429	1.15E-03	"[[23432, 67, 2], [24, 3, 0]]"	3	"Thyroiditis, acute and subacute"	23.99	2.16E-08	22.07	5.06E-08	38.88	8.74E-05	38.88	1.29E-05	3.42E-09	10.54
exm1025139	pheno_913	1.02E-03	0.001018	1.53E-03	"[[25452, 50], [38, 3]]"	3	Toxic effect of venom	43.33	1.30E-09	40.58	2.03E-09	40.19	8.50E-05	40.19	1.24E-05	4.17E-09	10.29
exm1025643	pheno_010	1.19E-03	0.001194	1.80E-03	"[[24903, 59], [42, 3]]"	3	Tuberculosis	31.83	2.27E-08	31.11	2.26E-08	30.15	1.91E-04	30.15	3.21E-05	4.93E-08	9.78
exm1029246	pheno_642.1	4.13E-03	0.004124	6.86E-03	"[[14850, 122], [95, 7]]"	7	Preeclampsia and eclampsia	10.96	7.70E-09	0	0.00E+00	8.97	2.69E-05	8.97	8.72E-06	5.73E-08	65.77
exm1029246	pheno_575	4.13E-03	0.004124	2.40E-02	"[[26683, 212], [644, 19]]"	19	Other biliary tract disease	3.67	8.76E-08	3.72	6.21E-08	3.71	3.68E-06	3.71	1.92E-06	5.53E-08	773.38
exm1029246	pheno_697	4.13E-03	0.004124	1.11E-02	"[[24604, 207], [271, 12]]"	12	Sarcoidosis	5.03	1.11E-07	5.24	4.82E-08	5.26	7.92E-06	5.26	3.41E-06	4.28E-08	266.07
exm1029569	pheno_090	5.57E-03	0.005568	1.18E-03	"[[29262, 323, 1], [30, 5, 0]]"	5	Sexually transmitted infections (not HIV or hepatitis)	14.29	2.38E-08	14.19	2.63E-08	13.93	4.68E-05	13.93	1.18E-05	2.65E-08	31.95
exm1030337	pheno_755.1	1.05E-03	0.001046	2.11E-03	"[[29209, 58], [59, 3]]"	3	Congenital deformities of feet	31.06	9.67E-08	33.26	7.59E-08	25.61	2.97E-04	25.61	5.39E-05	1.68E-07	9.5
exm1030816	pheno_270.1	1.35E-03	0.001346	2.06E-03	"[[27582, 62, 0], [50, 4, 3]]"	10	Disturbances of amino-acid transport	39.07	8.51E-17	34.7	1.56E-15	85.65	7.56E-11	85.65	4.98E-17	7.51E-36	3796.1
exm1030816	pheno_270	1.35E-03	0.001346	2.07E-02	"[[27582, 62, 0], [574, 8, 3]]"	14	Disorders of protein plasma/amino-acid transport and metabolism	8.72	2.15E-13	8.5	5.46E-13	10.79	5.30E-10	10.79	1.72E-10	1.33E-15	4951.14
exm1030816	pheno_270.2	1.35E-03	0.001346	1.70E-03	"[[27582, 62, 0], [44, 1, 2]]"	5	Disorders of amino-acid metabolism	25.66	2.37E-10	23.82	1.21E-09	50.04	1.12E-07	50.04	1.55E-08	5.09E-16	59.65
exm1030816	pheno_306	1.35E-03	0.001346	4.92E-03	"[[20355, 55, 0], [98, 1, 2]]"	5	Other mental disorder	11.48	1.07E-07	10.35	4.69E-07	18.81	1.21E-05	18.81	2.72E-06	8.55E-10	38.79
exm1033106	pheno_586.3	1.04E-03	0.001043	1.53E-03	"[[22211, 46, 0], [32, 1, 1]]"	3	Vascular disorders of kidney/hypertrophy	31.08	8.35E-08	32.77	1.50E-08	44.62	5.95E-05	44.62	8.27E-06	1.01E-09	10.73
exm1034738	pheno_642.1	1.94E-03	0.001941	6.86E-03	"[[15093, 57], [99, 5]]"	5	Preeclampsia and eclampsia	15.78	1.80E-08	0	0.00E+00	13.37	6.36E-05	13.37	1.69E-05	7.45E-08	28.87
exm1036574	pheno_697	2.21E-03	0.002209	1.11E-02	"[[25066, 106, 2], [274, 7, 1]]"	9	Sarcoidosis	5.97	8.86E-08	6.04	6.79E-08	7.41	7.75E-06	7.41	2.83E-06	1.15E-08	156.77
exm1037875	pheno_731	2.07E-03	0.002067	1.38E-03	"[[22022, 84], [29, 3]]"	3	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	36.11	1.07E-08	33.14	1.93E-08	27.12	2.68E-04	27.12	4.70E-05	1.51E-07	9.38
exm1038928	pheno_592.2	1.82E-02	0.01816	1.50E-03	"[[20514, 718, 8], [25, 6, 1]]"	8	Urethritis and urethral syndrome	7.95	4.63E-08	7.92	3.90E-08	8.12	1.54E-05	8.12	5.18E-06	3.79E-08	94.9
exm1040858	pheno_433.11	1.16E-03	0.00116	5.53E-03	"[[24590, 48, 0], [133, 3, 1]]"	5	"Occlusion of cerebral arteries, with cerebral infarction"	16.9	3.83E-08	16.8	4.47E-08	19.06	1.15E-05	19.06	2.59E-06	7.94E-10	38.76
exm1042558	pheno_526.5	7.57E-03	0.007571	1.67E-03	"[[27099, 397, 3], [40, 6, 0]]"	6	Inflammatory conditions of jaw	9.66	8.60E-08	9.07	1.41E-07	9.45	6.72E-05	9.45	2.07E-05	1.67E-07	41.72
exm1044077	pheno_221	1.92E-03	0.001919	2.37E-03	"[[12136, 47], [26, 3]]"	3	Benign neoplasm of other female genital organs	32.22	3.76E-08	0	0.00E+00	29.79	2.19E-04	29.79	3.73E-05	1.02E-07	9.33
exm1044519	pheno_323.8	9.77E-03	0.009763	1.54E-03	"[[28523, 558, 3], [38, 7, 0]]"	7	"Encephalitis, non-infectious"	8.73	5.57E-08	8.6	6.81E-08	8.61	3.10E-05	8.61	1.00E-05	6.57E-08	65.91
exm1045523	pheno_420	1.23E-03	0.001228	2.11E-02	"[[27087, 58], [575, 9]]"	9	Carditis	7.15	5.14E-08	7.2	4.55E-08	7.31	1.11E-05	7.31	4.20E-06	3.59E-08	127.46
exm1045591	pheno_626.14	1.67E-03	0.001665	2.70E-03	"[[11039, 31], [27, 3]]"	3	Irregular menstrual bleeding	41.87	5.46E-09	0	0.00E+00	39.57	1.01E-04	39.57	1.52E-05	1.15E-08	9.73
exm1047380	pheno_295.1	2.62E-03	0.002617	3.90E-03	"[[20233, 104], [75, 5]]"	5	Schizophrenia	12.53	9.77E-08	12.06	1.51E-07	12.97	6.91E-05	12.97	1.83E-05	8.07E-08	29.06
exm1048192	pheno_362.29	1.09E-03	0.001093	9.83E-03	"[[26428, 54], [257, 6]]"	6	Macular degeneration (senile) of retina NOS	17.79	2.33E-09	13.1	3.15E-08	11.43	2.74E-05	11.43	8.05E-06	2.73E-08	48.56
exm1050291	pheno_624	1.56E-03	0.001564	5.80E-03	"[[13834, 42], [77, 4]]"	4	Symptoms involving female genital tract	17.45	9.96E-08	0	0.00E+00	17.11	1.43E-04	17.11	3.32E-05	1.67E-07	16.68
