snp_name	pheno	Trait	Sample Size	pval_rep	OR_rep	Gene_rep	maf_common	cmb_odds_ratio	cmn_p_val	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_cmb
rs6716753	pheno_555.1	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	1E-16	1.13	SP140	0.196	16.1111111111	0.00276887008604	exm273513	0.000135011982313	16.1111111111	0.0106721427473	[[21170, 6], [438, 2]]
rs7423615	pheno_555.1	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	3E-13	1.12	SP140	0.187	16.1111111111	0.00276887008604	exm273513	0.000135011982313	16.1111111111	0.0106721427473	[[21170, 6], [438, 2]]
rs13428812	pheno_555.1	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	9E-10	1.06	DNMT3A	0.326	7.37246049661	0.0125483654275	exm177559	0.000370195867268	7.37246049661	0.0369770731796	[[21229, 13], [443, 2]]
rs7590720	pheno_317.1	Alcohol dependence	476 European ancestry cases, 1,358 European ancestry controls	1E-8	1.35	PECR	0.29	7.80024622961	0.0101814799693	exm2273365	0.000403768506057	7.80024622961	0.0317126028487	[[25343, 19], [342, 2]]
rs1042034	pheno_272.12	Triglycerides	Up to 96,598 European descent individuals	1E-45	5.99	APOB	0.22	3.42739818495	2.95021950489e-06	exm175914,exm175757,exm175754,exm175670,exm175924,exm175929,exm175743	0.000454209003432,6.72902227306e-05,0.000555443344779,0.000269169947175,0.00331772710431,0.0101110363392,0.000757065948856	14.96215781,29.7948717949,8.96763285024,19.9516908213,3.13009544008,2.2511002445,6.87130177515	0.0102463757817,0.0437263191739,0.0245706758513,0.00633065055507,0.0441087333685,0.0232126089656,0.0385232222267	[[18015, 528, 4], [189, 20, 0]]
rs693	pheno_272.11	Cholesterol, total	22,562 individuals	9E-23	0.10	APOB	0.52	0.858776839196	0.00997671563993	exm175802	0.0412320839782	0.858776839196	0.0225104162616	[[17066, 1498, 31], [3553, 261, 8]]
rs3771570	pheno_185	Prostate cancer	11,085 European ancestry cases, 11,463 European ancestry controls	5E-9	1.12	ANO7, ATG4B, BOK, BOK-AS1, DTYMK, FARP2, HDLBP, SEP2,STK25, THAP4	0.15	1.98313406467	0.00630280143173	exm284448	0.00402059080816	1.98313406467	0.0104457716143	[[9624, 59, 1], [1587, 18, 1]]
rs11676348	pheno_555.2	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	1E-10	1.07	IL8RA, SLC11A1, IL8RB, AAMP, ARPC	0.49	2.60233125508	0.0282554301955	exm264499	0.00304590737749	2.60233125508	0.0495876069357	[[21120, 119], [341, 5]]
rs780093	pheno_274.1	Urate levels	28,283 white individuals	4E-17	5.15	GCKR	0.4	2.09931932893	0.00365163413699	exm181757,exm181683	0.00195154777927,0.00383554269565	2.23522029372,1.76518288397	0.0394617853967,0.0473887812087	[[27794, 216], [1042, 17]]
rs12713956	pheno_272.11	LDL cholesterol	7,861 African American individuals, 3,425 Hispanic individuals	4E-8	4.86	APOB	0.183	2.97650109608	7.14941382054e-07	exm175914,exm175785,exm175743,exm175583,exm175589	0.000454209003432,0.000185085475838,0.000757065948856,0.000605612004576,0.000117761851889	2.84143730887,4.86773179675,2.05968013383,3.24938789787,9.73913043478	0.031399136441,0.0331143897355,0.0485669035061,0.00557972827274,0.00945464930301	[[18528, 57, 1], [3786, 36, 0]]
rs4245791	pheno_272.11	LDL cholesterol	7,861 African American individuals, 3,425 Hispanic individuals	1E-9	5.97	ABCG8	0.143	7.30282796544	0.022233497613	exm190290	0.000100935334096	7.30282796544	0.0377328228914	[[18593, 2], [3819, 3]]
rs2111485	pheno_555	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	2E-8	1.07	IFIH1	0.404	1.95845225284	0.00564279176978	exm236840,exm236879	0.00760379516856,8.41127784133e-05	1.74620538624,34.3231017771	0.0430577928171,0.00465016101603	[[20929, 319], [603, 18]]
rs13394619	pheno_615	Endometriosis	3,181 European ancestry cases, 8,075 European ancestry controls, 1,423 Japanese ancestry cases, 1,318 Japanese ancestry controls	6E-9	1.15	GREB1	0.521	46.1806451613	0.00498256011242	exm172888	0.000117777702998	46.1806451613	0.0319887858712	[[14316, 2], [155, 1]]
rs2268361	pheno_256.4	Polycystic ovary syndrome	2,254 Han Chinese cases, 3,001 Han Chinese controls	1E-12	1.15	FSHR	0.504	24.4714285714	0.00850999808708	exm193239	0.000185054338683	24.4714285714	0.0480690639124	[[13704, 5], [112, 1]]
rs13538	pheno_585	Chronic kidney disease	Up to 67,093 European ancestry individuals	5E-14	0.01	NAT8,NAT8B,ALMS1	0.23	0.672836751073	0.00460356039093	exm203026	0.00720150760533	0.672836751073	0.0123607543304	[[21909, 343], [4272, 45]]
rs676210	pheno_272.11	LDL (oxidized)	2,080 European ancestry individuals	3E-47	10.50	apoB	0.77	2.97650109608	7.14941382054e-07	exm175914,exm175785,exm175743,exm175583,exm175589	0.000454209003432,0.000185085475838,0.000757065948856,0.000605612004576,0.000117761851889	2.84143730887,4.86773179675,2.05968013383,3.24938789787,9.73913043478	0.031399136441,0.0331143897355,0.0485669035061,0.00557972827274,0.00945464930301	[[18528, 57, 1], [3786, 36, 0]]
