snp_name	pheno	Trait	Sample Size	pval_rep	OR_rep	Gene_rep	maf_common	cmb_odds_ratio	cmn_p_val	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_cmb
rs9264942	pheno_555.1	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	5E-28	1.15	HLA-C,PSORS1C1,NFKBIL1,MICB	0.378	1.48764164934	0.018677989569	exm-rs2524229	0.0244834084943	1.48764164934	0.0370725080168	[[20213, 1017, 11], [414, 30, 1]]
rs9491697	pheno_555.1	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	4E-10	1.08	Intergenic	0.439	15.9834462002	0.00282108481508	exm576579	0.000302806002288	15.9834462002	0.0108320821111	[[21242, 6], [443, 2]]
rs17309827	pheno_555.1	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	7E-9	1.10	intergenic	0.639	5.76190045249	0.00750662044362	exm513426	0.000656079671624	5.76190045249	0.0192064680639	[[21223, 25], [442, 3]]
rs1799945	pheno_401	Hypertension	69,395 European ancestry individuals	2E-10	0.10	HFE	0.14	0.178900573321	0.00301107506601	exm521728	0.000269296798734	0.178900573321	0.0165326137776	[[14588, 13], [12545, 2]]
rs522162	pheno_362.2	Age-related macular degeneration	1,207 European ancestry cases, 686 European ancestry controls	2E-10	2.33	RDBP,CFB, ATF6B,STK19	0.93	3.22942292393	0.00282453667192	exm533229,exm533622	0.00159819656135,0.00163272176401	3.27359513994,3.18854415274	0.00482000475849,0.00556611378541	[[26386, 78], [838, 8]]
rs429608	pheno_362.2	Age-related macular degeneration	6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls	4E-89	1.74	C2, CFB	0.86	3.22942292393	0.00282453667192	exm533229,exm533622	0.00159819656135,0.00163272176401	3.27359513994,3.18854415274	0.00482000475849,0.00556611378541	[[26386, 78], [838, 8]]
rs12153855	pheno_362.2	Age-related macular degeneration	893 European ancestry cases, 2,199 European ancestry controls	1E-9	1.44	TNXB	0.011	3.54717741935	0.000920073725791	exm534536	0.00168287839521	3.54717741935	0.00175003165179	[[26391, 80], [837, 9]]
rs541862	pheno_362.2	Age-related macular degeneration	893 European ancestry cases, 2,199 European ancestry controls	9E-17	1.89	CFB	0.99	3.22942292393	0.00282453667192	exm533229,exm533622	0.00159819656135,0.00163272176401	3.27359513994,3.18854415274	0.00482000475849,0.00556611378541	[[26386, 78], [838, 8]]
rs641153	pheno_362.2	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	6E-31	1.85	CFB	0.9	3.27359513994	0.00260675372272	exm533229	0.00159819656135	3.27359513994	0.00482000475849	[[26404, 77], [838, 8]]
rs9332739	pheno_362.2	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	2E-23	2.17	C2	0.96	3.27359513994	0.00260675372272	exm533229	0.00159819656135	3.27359513994	0.00482000475849	[[26404, 77], [838, 8]]
rs9380272	pheno_362.2	Age-related macular degeneration	2,978 European ancestry cases, 2,859 European ancestry controls	2E-8	4.31	C2,CFB	0.012	3.27359513994	0.00260675372272	exm533229	0.00159819656135	3.27359513994	0.00482000475849	[[26404, 77], [838, 8]]
rs1150754	pheno_695.42	Systemic lupus erythematosus	811 anti-dsDNA positive European ancestry cases, 906 anti-dsDNA negative European ancestry cases, 4,813 European ancestry controls	6E-29	2.21	TNXB	0.13	2.0120386679	0.00926570752014	exm534264	0.00802624936901	2.0120386679	0.0197241889029	[[24528, 391, 5], [423, 12, 1]]
rs548234	pheno_695.42	Systemic lupus erythematosus	1,047 Chinese Han cases, 1,205 Chinese Han controls	5E-12	1.25	PRDM1, ATG5	0.26	3.11202281483	0.0139574028522	exm568967	0.00195141645919	3.11202281483	0.0264615543165	[[24835, 90, 1], [432, 5, 0]]
rs2180341	pheno_174.11	Breast cancer	249 Ashkenazi Jewish ancestry non-BRCA1/2 carriers cases, 299 Ashkenazi Jewish ancestry non-BRCA1/2 carriers controls	3E-8	1.41	ECHDC1,RNF146	0.21	16.9164345404	0.0142453463191	exm576641	8.41212692217e-05	16.9164345404	0.031225414494	[[12146, 1], [1436, 2]]
rs610604	pheno_696.4	Psoriasis	1,359 cases, 1,400 controls	9E-12	1.19	TNFAIP3	0.32	30.6520618557	0.00902804464684	exm581589	5.05765729314e-05	30.6520618557	0.0474984815062	[[23786, 2], [388, 1]]
