SNP	Reported_Gene	Chr	Lab_name	Study	Trait	p-value_reported (Catalog)	beta_reported (Catalog)	MAF_reported (catalog)	beta_common (Exome)	p-value_common (Exome)	MAF_common (exome)	beta_combined	p-value_combined	MAF_combined	SNPs_name	SNPs_MAF	SNPS_beta	SNPS_p-val
rs13233571	BCL7B	7	CRP	Meta-analysis of genome-wide association studies in &gt;80 000 subjects identifies multiple loci for C-reactive protein levels.	C-reactive protein	4E-9	0.05	NR	0.0860010140918	0.954587339683	0.1221	47.4795648207	0.414397613242	6.73423347587e-05	exm625672	6.73423347587e-05	17.2312912913	0.0423377143972
rs12670798	DNAH11	7	Chol	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	1E-16	0.04	0.25	1.37246397211	0.0083678142857	0.2421	nan	1.0	0.00217179029597	exm608438,exm608612,exm608546,exm608252	0.000420592193809,5.04880511612e-05,0.00126194642617,0.000437430599953	22.4174446659,15.5496103501,13.3312705167,29.7031457338	0.0430435315996,0.0290850669242,0.0213135349065,1.83130739418e-06
rs12670798	DNAH11	7	Chol	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	7E-10	1.70	0.15	1.37246397211	0.0083678142857	0.2421	nan	1.0	0.00217179029597	exm608438,exm608612,exm608546,exm608252	0.000420592193809,5.04880511612e-05,0.00126194642617,0.000437430599953	22.4174446659,15.5496103501,13.3312705167,29.7031457338	0.0430435315996,0.0290850669242,0.0213135349065,1.83130739418e-06
rs12670798	DNAH11	7	Chol	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	Cholesterol, total	9E-7	0.06	0.24	1.37246397211	0.0083678142857	0.2421	nan	1.0	0.00217179029597	exm608438,exm608612,exm608546,exm608252	0.000420592193809,5.04880511612e-05,0.00126194642617,0.000437430599953	22.4174446659,15.5496103501,13.3312705167,29.7031457338	0.0430435315996,0.0290850669242,0.0213135349065,1.83130739418e-06
rs12670798	DNAH11	7	LDL-C	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	5E-14	0.03	0.25	0.98320242921	0.0238699409104	0.2421	nan	1.0	0.00185129085462	exm608612,exm608913,exm608665	5.04880511612e-05,0.00176636834668,3.36462433969e-05	16.7353586442,10.1813893917,20.9256143916	0.00334752584358,0.0205530094136,0.0409802336418
rs12670798	DNAH11	7	LDL-C	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	7E-10	1.26	0.23	0.98320242921	0.0238699409104	0.2421	nan	1.0	0.00185129085462	exm608612,exm608913,exm608665	5.04880511612e-05,0.00176636834668,3.36462433969e-05	16.7353586442,10.1813893917,20.9256143916	0.00334752584358,0.0205530094136,0.0409802336418
rs12670798	DNAH11	7	LDL-C	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	LDL cholesterol	6E-9	0.09	0.24	0.98320242921	0.0238699409104	0.2421	nan	1.0	0.00185129085462	exm608612,exm608913,exm608665	5.04880511612e-05,0.00176636834668,3.36462433969e-05	16.7353586442,10.1813893917,20.9256143916	0.00334752584358,0.0205530094136,0.0409802336418
rs2072183	NPC1L1	7	LDL-C	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	7E-16	0.04	0.29	0.139652000677	0.755809201179	0.2238	-0.621129764124	0.831157775248	0.000269351200296	exm618007	0.000269351200296	10.0978190646	0.0177929478381
rs2072183	NPC1L1	7	LDL-C	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	4E-11	1.17	0.43	0.139652000677	0.755809201179	0.2238	-0.621129764124	0.831157775248	0.000269351200296	exm618007	0.000269351200296	10.0978190646	0.0177929478381
rs38855	MET	7	Trigs	Discovery and refinement of loci associated with lipid levels.	Triglycerides	2E-8	0.02	0.47	1.11920885133	0.360612127977	0.4689	-27.923940964	0.153513319384	0.000437430599953	exm651865	0.000437430599953	68.7034887034	0.00221642647317
rs17145738	BCL7B, TBL2, MLXIPL	7	Trigs	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	Triglycerides	7E-22	0.14	0.13	-10.0659147944	1.17347742111e-07	0.1212	-5.33199732699	0.95961626789	0.0440429326066	exm625562	0.0440429326066	-7.16863858152	0.0164890228279
rs1178979	BAZ1B, BCL7B, TBL2, MLXIPL	7	Trigs	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	Triglycerides	2E-12	0.05	0.80	-7.15527050861	5.5559930355e-06	0.1939	0.972027515319	0.914005505741	0.0440429326066	exm625562	0.0440429326066	-7.16863858152	0.0164890228279
