SNP	Reported_Gene	Chr	Lab_name	Study	Trait	p-value_reported (Catalog)	beta_reported (Catalog)	MAF_reported (catalog)	beta_common (Exome)	p-value_common (Exome)	MAF_common (exome)	beta_combined	p-value_combined	MAF_combined	SNPs_name	SNPs_MAF	SNPS_beta	SNPS_p-val
rs6511720	LDLR	19	Chol	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	5E-202	0.19	0.12	-4.62186585432	1.88914166527e-11	0.1211	-31.8619802921	0.240255302149	1.68265185933e-05	exm2263575,exm2263587	1.68225556827e-05,0.0	-140.131100039,-23.8437669101	0.000259210738871,0.00837150114339
rs6511720	LDLR	19	Chol	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	7E-97	7.09	0.11	-4.62186585432	1.88914166527e-11	0.1211	-31.8619802921	0.240255302149	1.68265185933e-05	exm2263575,exm2263587	1.68225556827e-05,0.0	-140.131100039,-23.8437669101	0.000259210738871,0.00837150114339
rs6511720	LDLR	19	LDL-C	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	3E-115	nan	0.13	-4.48966432677	7.97338968189e-15	0.1211	-44.3282492969	0.0412694007229	0.000134594030755	exm2263575,exm1427534,exm2228240	1.68225556827e-05,6.72970153774e-05,5.0467667048e-05	-92.4847860385,-61.4824639411,-44.3282492969	0.00260250065492,0.0453294461007,0.0412694007229
rs6511720	LDLR	19	LDL-C	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	4E-262	0.22	0.12	-4.48966432677	7.97338968189e-15	0.1211	-44.3282492969	0.0412694007229	0.000134594030755	exm2263575,exm1427534,exm2228240	1.68225556827e-05,6.72970153774e-05,5.0467667048e-05	-92.4847860385,-61.4824639411,-44.3282492969	0.00260250065492,0.0453294461007,0.0412694007229
rs6511720	LDLR	19	LDL-C	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	4E-117	6.99	0.11	-4.48966432677	7.97338968189e-15	0.1211	-44.3282492969	0.0412694007229	0.000134594030755	exm2263575,exm1427534,exm2228240	1.68225556827e-05,6.72970153774e-05,5.0467667048e-05	-92.4847860385,-61.4824639411,-44.3282492969	0.00260250065492,0.0453294461007,0.0412694007229
rs6511720	LDLR	19	LDL-C	Common variants at 30 loci contribute to polygenic dyslipidemia.	LDL cholesterol	2E-26	0.26	0.10	-4.48966432677	7.97338968189e-15	0.1211	-44.3282492969	0.0412694007229	0.000134594030755	exm2263575,exm1427534,exm2228240	1.68225556827e-05,6.72970153774e-05,5.0467667048e-05	-92.4847860385,-61.4824639411,-44.3282492969	0.00260250065492,0.0453294461007,0.0412694007229
rs6511720	LDLR	19	LDL-C	Newly identified loci that influence lipid concentrations and risk of coronary artery disease.	LDL cholesterol	4E-26	9.17	0.90	-4.48966432677	7.97338968189e-15	0.1211	-44.3282492969	0.0412694007229	0.000134594030755	exm2263575,exm1427534,exm2228240	1.68225556827e-05,6.72970153774e-05,5.0467667048e-05	-92.4847860385,-61.4824639411,-44.3282492969	0.00260250065492,0.0453294461007,0.0412694007229
rs2738459	LDLR	19	LDL-C	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	LDL cholesterol	7E-6	0.02	0.48	-0.340080586158	0.363108059645	0.4651	-44.3282492969	0.0412694007229	0.000134594030755	exm2263575,exm1427534,exm2228240	1.68225556827e-05,6.72970153774e-05,5.0467667048e-05	-92.4847860385,-61.4824639411,-44.3282492969	0.00260250065492,0.0453294461007,0.0412694007229
rs11668477	LDLR	19	LDL-C	Genome-wide association analysis of metabolic traits in a birth cohort from a founder population.	LDL cholesterol	2E-7	0.13	0.18	-3.0467144558	6.6250469215e-11	0.2087	-44.3282492969	0.0412694007229	0.000134594030755	exm2263575,exm1427534,exm2228240	1.68225556827e-05,6.72970153774e-05,5.0467667048e-05	-92.4847860385,-61.4824639411,-44.3282492969	0.00260250065492,0.0453294461007,0.0412694007229
rs2280401	RPS11, FCGRT	19	Alb	Discovery and fine mapping of serum protein loci through transethnic meta-analysis.	Serum albumin level	8E-7	0.01	0.17	0.00122637546687	0.809839374669	0.1592	-0.0349705009095	0.0979654146832	0.000858181328667	exm1491063	0.000858181328667	0.0967902371501	0.0128549478825
rs731839	PEPD	19	Trigs	Discovery and refinement of loci associated with lipid levels.	Triglycerides	3E-9	0.02	0.35	0.561923951823	0.665827899029	0.332	0.852830522585	0.89113734177	0.000336904521259	exm1453766,exm1453765	0.000100945523066,0.0002358172753	99.5512640433,70.4543631782	0.000652032386237,0.00453515067081
rs3760776	FUT6	19	Vi-B12	Genome-wide association study identifies novel loci associated with serum level of vitamin B12 in Chinese men.	Vitamin B12 levels	4E-13	49.78	NR	10.2201121466	0.602317762689	0.09268	726.101696187	0.000149594565648	0.000824332963225	exm1412668	0.000824332963225	726.101696187	0.000149594565648
