SNP	Reported_Gene	Chr	Lab_name	Study	Trait	p-value_reported (Catalog)	beta_reported (Catalog)	MAF_reported (catalog)	beta_common (Exome)	p-value_common (Exome)	MAF_common (exome)	beta_combined	p-value_combined	MAF_combined	SNPs_name	SNPs_MAF	SNPS_beta	SNPS_p-val
rs6901250	GPRC6A	6	CRP	Meta-analysis of genome-wide association studies in &gt;80 000 subjects identifies multiple loci for C-reactive protein levels.	C-reactive protein	5E-8	0.04	NR	-1.25432856397	0.243101970765	0.313	nan	1.0	0.000584839452137	exm574016,exm574106	0.000584839452137,0.0	-1.65613716785,-1.64105219695	0.0223910010281,0.0236534077673
rs1564348	LPA	6	Chol	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	3E-23	0.05	0.18	0.420285547269	0.489655384185	0.1629	2.07559619941	0.49137639151	0.00309545439252	exm592895	0.00309545439252	9.38978254053	0.0271005996452
rs1564348	LPA	6	Chol	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	1E-16	2.18	0.17	0.420285547269	0.489655384185	0.1629	2.07559619941	0.49137639151	0.00309545439252	exm592895	0.00309545439252	9.38978254053	0.0271005996452
rs3757354	MYLIP	6	Chol	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	2E-15	0.04	0.24	-0.301296546889	0.585367120506	0.2087	0.108325374974	0.98456063175	3.36473755047e-05	exm517971	3.36473755047e-05	-46.4936954049	0.000126728481172
rs1564348	LPA	6	LDL-C	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	3E-21	0.05	0.18	0.264587286687	0.603813681768	0.1629	1.31731157358	0.61849189113	0.0238813954377	exm592895,exm592854,exm592913	0.00309545439252,0.0186458810943,0.00203587172326	8.88636623215,1.199660707,8.2805755774	0.0130672841893,9.95435249281e-05,0.0206337187565
rs1564348	LPA	6	LDL-C	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	2E-17	1.95	0.17	0.264587286687	0.603813681768	0.1629	1.31731157358	0.61849189113	0.0238813954377	exm592895,exm592854,exm592913	0.00309545439252,0.0186458810943,0.00203587172326	8.88636623215,1.199660707,8.2805755774	0.0130672841893,9.95435249281e-05,0.0206337187565
rs3757354	MYLIP	6	LDL-C	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	2E-17	0.04	0.24	-0.133819160781	0.772257946573	0.2087	4.08317969458	0.412641941577	3.36473755047e-05	exm517971	3.36473755047e-05	-30.534802871	0.00166765667547
rs2142672	MYLIP,GMPR	6	LDL-C	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.	LDL cholesterol	2E-8	0.01	0.74	0.0571401039421	0.892729163306	0.2704	-7.02203477612	0.545408469587	0.0	exm518094	0.0	22.1757080246	0.0303231887617
rs2254287	B3GALT4	6	LDL-C	Newly identified loci that influence lipid concentrations and risk of coronary artery disease.	LDL cholesterol	5E-8	1.91	0.38	-0.395326219546	0.297966141629	0.4047	-12.9812075187	0.20501688172	0.0156002827236	exm537955,exm538281,exm2122672,exm539024,exm538880,exm537940,exm538783	0.000302806002288,0.000487854114797,1.68225556827e-05,0.0145554284176,0.000117757889779,0.000151418284599,1.68225556827e-05	-29.6367357055,-14.9465536528,-92.4847860385,-2.99418105178,-44.7845676541,-13.1776513344,-92.4847860385	0.0309948064007,0.0340153698446,0.00260250065492,0.0444318909674,0.0392244203098,0.0493304318235,0.00260250065492
rs11968166	CCND3	6	NtAbs	Duffy-null-associated low neutrophil counts influence HIV-1 susceptibility in high-risk South African black women.	Neutrophil count	8E-6	nan	NR	0.0224831714625	0.575790348269	0.1794	0.115281255662	0.304579268455	0.000302806002288	exm546477	0.000302806002288	2.44714362459	0.020496791864
rs9469578	ITPR3,LEMD2,MLN	6	Phos	Common genetic variants associate with serum phosphorus concentration.	Phosphorus levels	1E-11	0.06	0.08	-0.00331641812622	0.878028347831	0.07038	-0.101508798499	0.701327278239	0.000168560159121	exm539572	0.000168560159121	-0.135698629587	0.0235072908264
rs947583	PDE7B	6	Phos	Common genetic variants associate with serum phosphorus concentration.	Phosphorus levels	3E-12	0.04	0.29	0.00909411775406	0.483924740803	0.276	-0.318021218968	0.4231697844	0.00104299845232	exm2257544	0.00104299845232	0.675267815899	0.000144137425451
rs1183201	SLC17A1	6	UricA	Meta-analysis of 28,141 individuals identifies common variants within five new loci that influence uric acid concentrations.	Uric acid levels	3E-14	0.06	0.48	-0.11918954945	0.000198485751545	0.4629	nan	1.0	0.0	exm521019	0.0	-0.0938559576295	0.000133755491285
rs3094212	CDSN,PSORS1C1	6	WBC	Genome-wide association study of hematological and biochemical traits in a Japanese population.	White blood cell count	7E-9	0.07	0.35	0.0390581083736	0.191084184034	0.4885	0.103801465841	0.114996664384	0.000706618661462	exm529654,exm530036	3.36473755047e-05,0.000672924867938	7.26583912371,1.5428958267	0.00229056870337,0.00301703305628
